date,station,max_range
20170501,USC00410779,26.1
20170502,USC00413411,26.1
20170503,RSM00031939,24.6
20170504,USS0013C39S,22.5
20170505,USW00094012,27.8
20170506,USC00243110,31.1
20170507,RSM00030521,27.1
20170508,RSM00030971,25.2
20170509,USC00047109,23.9
20170509,USW00094107,23.9
20170510,RSM00030695,24.5
20170510,USC00261590,24.5
20170511,USR0000ATUS,23.3
20170512,USC00267750,24.5
20170513,USC00100803,27.2
20170514,USC00290417,22.2
20170515,USR0000ASTO,25.0
20170516,USC00334874,25.0
20170516,USR0000ACHL,25.0
20170517,AR000087007,22.9
20170518,USC00058995,22.8
20170519,CA0050309J6,23.7
20170520,USC00194502,24.5
20170521,USC00279091,28.4
20170522,CA00109E7R6,23.5
20170523,USC00027390,24.5
20170524,USW00093069,26.7
20170525,USC00264236,26.1
20170526,CA001160899,25.5
20170527,CA001135126,27.0
20170528,USR0000CSAD,26.7
20170529,USW00094012,23.8
20170530,USC00485525,32.2
20170531,USW00003016,22.7
